transaction_id,customer_id,timestamp,amount,currency,origin_country,destination_country,channel,device_type,is_anomaly,hour,day_of_week,day_of_month,month,customer_avg_amount,customer_std_amount,customer_min_amount,customer_max_amount,customer_transaction_count,customer_unique_countries,customer_unique_channels,amount_deviation,currency_encoded,origin_country_encoded,destination_country_encoded,channel_encoded,device_type_encoded,anomaly_score,predicted_anomaly
TXN00000015,CUST000183,2025-10-08 05:09:22.664021,112.17,EUR,IT,ES,web,desktop,0,5,2,8,10,130.27577777777776,87.83114664174686,10.48,389.78,45,3,4,-0.206143017185989,1,5,4,3,1,0.452773764602713,0
TXN00000016,CUST000136,2025-04-08 12:29:22.664021,38.39,EUR,FR,IT,app,pos,0,12,1,8,4,156.8698245614035,118.19619667695422,10.52,475.76,57,3,4,-1.002399627822415,1,3,8,0,3,0.4785231644702136,0
TXN00000017,CUST000031,2025-09-08 05:54:22.723200,28887.03,EUR,ES,YE,cajero,atm,1,5,0,8,9,13481.367307692308,19770.345107118912,650.1,96447.91,52,10,4,0.7792308433696074,1,2,15,1,0,0.5768764756467916,1
TXN00000018,CUST000111,2025-12-01 14:17:22.664021,384.34,EUR,ES,ES,cajero,mobile,0,14,0,1,12,149.84564102564102,120.71725075770787,10.45,438.85,39,3,4,1.9425090909542375,1,2,4,1,2,0.5369543955809025,0
TXN00000019,CUST000114,2025-07-25 14:29:22.664021,1233.85,EUR,ES,IT,app,pos,0,14,4,25,7,5335.650000000001,3328.235785762344,1233.85,12763.92,56,6,4,-1.2324247026951682,1,2,8,0,3,0.4510944015534053,0
TXN00000020,CUST000010,2025-10-03 17:39:22.723200,8096.13,EUR,FR,FR,cajero,tablet,1,17,4,3,10,5429.407538461538,16831.498659396115,124.77,88540.11,65,10,4,0.158436424191576,1,3,5,1,4,0.49286498155837666,0
TXN00000021,CUST000041,2024-12-04 08:56:22.664021,9477.19,EUR,DE,ES,sucursal,pos,0,8,2,4,12,11344.927833333333,17592.7953892561,1042.59,81555.68,60,9,4,-0.10616492671584146,1,1,4,2,3,0.4722266866329186,0
TXN00000022,CUST000134,2025-05-27 06:30:22.664021,125.4,EUR,FR,FR,web,pos,0,6,1,27,5,159.77609756097561,110.03255829249015,11.1,483.71,41,3,4,-0.312417504255232,1,3,5,3,3,0.4649265597410107,0
TXN00000023,CUST000096,2024-12-19 00:13:22.664021,5005.19,EUR,ES,DE,sucursal,atm,0,0,3,19,12,8049.057142857143,6639.965843385416,600.14,24951.57,49,6,4,-0.4584160843885905,1,2,3,2,0,0.45153237081197317,0
TXN00000024,CUST000023,2025-04-29 02:42:22.664021,6017.64,EUR,FR,FR,cajero,atm,0,2,1,29,4,19429.679032258067,27485.165593373804,808.61,93511.09,62,11,4,-0.487973739368829,1,3,5,1,0,0.547503382219191,0
TXN00000025,CUST000014,2025-01-15 04:34:22.723200,34119.8,EUR,IT,DE,sucursal,tablet,1,4,2,15,1,5642.3088,18407.19611524372,109.06,98916.6,50,6,4,1.5470846847157558,1,5,3,2,4,0.5316936738458166,0
TXN00000026,CUST000160,2025-03-02 11:28:22.664021,2365.12,EUR,DE,IT,sucursal,mobile,0,11,6,2,3,904.2335714285715,637.0384111964836,114.49,2851.37,56,5,4,2.293247001439598,1,1,8,2,2,0.4988951989365096,0
TXN00000027,CUST000130,2025-01-18 04:26:22.664021,11363.4,EUR,IT,US,web,pos,0,4,5,18,1,5477.731875,3585.6029816829373,1158.54,14850.38,64,6,4,1.6414723418698274,1,5,14,3,3,0.5532870733880784,0
TXN00000028,CUST000165,2025-05-10 02:17:22.664021,663.87,EUR,FR,FR,app,atm,0,2,5,10,5,796.1411538461538,546.07482260668,145.49,2657.6,52,5,4,-0.24222166657041197,1,3,5,0,0,0.44719034507064226,0
TXN00000029,CUST000077,2025-02-21 04:02:22.664021,662.88,CHF,CH,DE,web,tablet,0,4,4,21,2,6464.85641509434,5759.730942651314,662.88,21657.81,53,6,4,-1.0073346258456033,0,0,3,3,4,0.5108229844226655,0
TXN00000030,CUST000080,2025-01-14 12:08:22.664021,217.71,EUR,ES,IT,cajero,desktop,0,12,1,14,1,146.3564,118.60946270815987,13.78,474.86,50,3,4,0.6015843742078327,1,2,8,1,1,0.47471383090489405,0
TXN00000031,CUST000180,2025-09-08 12:51:22.664021,394.28,CHF,GB,IT,sucursal,mobile,0,12,0,8,9,934.9624,733.4398987565374,127.9,2829.87,50,5,4,-0.7371870553803761,0,4,8,2,2,0.4833689652953241,0
TXN00000032,CUST000123,2025-09-05 10:19:22.664021,907.67,EUR,FR,GB,app,mobile,0,10,4,5,9,860.7267272727273,600.9941789822697,130.73,2418.83,55,5,4,0.07810936326980329,1,3,6,0,2,0.4305147874801452,0
TXN00000033,CUST000099,2025-06-10 11:38:22.664021,364.65,EUR,IT,ES,cajero,tablet,0,11,1,10,6,135.7517777777778,119.34773310276017,10.87,491.1,45,3,4,1.9179100796763968,1,5,4,1,4,0.4978101010887177,0
TXN00000034,CUST000089,2025-09-04 06:39:22.664021,126.68,EUR,ES,ES,cajero,pos,0,6,3,4,9,167.74181818181816,126.83528642226571,11.15,491.57,55,3,4,-0.32374127907412165,1,2,4,1,3,0.43411637675054865,0
TXN00000035,CUST000059,2025-01-18 06:46:22.664021,23.71,EUR,FR,ES,app,pos,0,6,5,18,1,141.4556862745098,127.69645729236034,11.48,485.42,51,3,4,-0.9220748002652641,1,3,4,0,3,0.46930986746084735,0
TXN00000036,CUST000038,2025-05-01 05:21:22.664021,965.94,EUR,ES,ES,app,desktop,0,5,3,1,5,5037.214237288136,16152.807983320574,143.24,79602.77,59,9,4,-0.2520474608031059,1,2,4,0,1,0.45778761882926877,0
TXN00000037,CUST000094,2025-02-14 02:54:22.664021,836.01,CHF,GB,DE,cajero,mobile,0,2,4,14,2,7811.610638297872,6082.503451203796,699.35,22965.89,47,6,4,-1.1468305267908216,0,4,3,1,2,0.4867107458555119,0
TXN00000038,CUST000049,2025-02-16 12:56:22.664021,765.3,EUR,ES,FR,sucursal,mobile,0,12,6,16,2,10261.296226415094,22484.211989396645,121.09,98860.64,53,7,4,-0.4223406286362618,1,2,5,2,2,0.46939927858826613,0
TXN00000039,CUST000137,2025-05-28 07:42:22.664021,526.69,EUR,FR,IT,web,mobile,0,7,2,28,5,911.4923636363636,700.4321115012415,100.69,2786.35,55,5,4,-0.5493785290086647,1,3,8,3,2,0.43543182167172106,0
TXN00000040,CUST000143,2025-07-10 04:33:22.664021,7226.56,EUR,ES,IT,sucursal,atm,0,4,3,10,7,5239.2824390243895,3581.701917241844,1357.73,14883.52,41,6,4,0.5548416943504637,1,2,8,2,0,0.4456934922384765,0
TXN00000041,CUST000032,2025-06-03 02:06:22.664021,147.16,EUR,FR,IT,app,desktop,0,2,1,3,6,4023.3371153846156,15206.425033709687,10.88,84820.7,52,6,4,-0.2549039045362063,1,3,8,0,1,0.46554880604671023,0
TXN00000042,CUST000012,2025-11-17 14:23:22.664021,4875.23,EUR,IT,GB,cajero,atm,0,14,0,17,11,10409.180892857143,18406.267596492755,1017.21,88472.2,56,9,4,-0.30065578822786215,1,5,6,1,0,0.5005954904213377,0
TXN00000043,CUST000123,2025-11-09 00:57:22.664021,880.51,EUR,FR,DE,app,tablet,0,0,6,9,11,860.7267272727273,600.9941789822697,130.73,2418.83,55,5,4,0.03291757788379301,1,3,3,0,4,0.4870170817873613,0
TXN00000044,CUST000160,2024-12-23 02:09:22.664021,1091.51,EUR,DE,IT,cajero,mobile,0,2,0,23,12,904.2335714285715,637.0384111964836,114.49,2851.37,56,5,4,0.29397980559085385,1,1,8,1,2,0.4687508299824468,0
TXN00000045,CUST000168,2025-04-23 13:15:22.664021,851.99,EUR,IT,GB,sucursal,pos,0,13,2,23,4,805.7724074074074,573.1593417914204,118.62,2763.92,54,5,4,0.08063655102872806,1,5,6,2,3,0.4360373380402336,0
TXN00000046,CUST000075,2025-06-13 05:53:22.664021,15186.23,EUR,FR,US,app,mobile,0,5,4,13,6,8798.873684210526,6988.470284473828,1140.6,24612.74,57,6,4,0.9139849001098531,1,3,14,0,2,0.5060462681947872,0
TXN00000047,CUST000172,2025-05-23 11:35:22.664021,1720.16,EUR,FR,GB,sucursal,tablet,0,11,4,23,5,1225.615576923077,816.7534839489807,107.05,2891.9,52,5,4,0.6055002301065361,1,3,6,2,4,0.42683901027168647,0
TXN00000048,CUST000147,2025-03-27 04:33:22.664021,2713.59,CHF,US,US,app,mobile,0,4,3,27,3,5159.978620689655,3565.2608325444103,1101.13,13831.0,58,6,4,-0.6861738130552354,0,6,14,0,2,0.5492333837628635,0
TXN00000049,CUST000148,2025-05-20 09:49:22.664021,1723.99,EUR,ES,DE,web,desktop,0,9,1,20,5,4870.1898,2933.4540342801783,1010.54,12132.54,50,6,4,-1.072523981000269,1,2,3,3,1,0.42480218302547385,0
TXN00000050,CUST000010,2025-08-19 01:37:22.664021,931.93,EUR,FR,FR,app,tablet,0,1,1,19,8,5429.407538461538,16831.498659396115,124.77,88540.11,65,10,4,-0.2672060063815906,1,3,5,0,4,0.4879069455063172,0
TXN00000051,CUST000075,2025-10-15 05:55:22.664021,24612.74,EUR,FR,US,web,mobile,0,5,2,15,10,8798.873684210526,6988.470284473828,1140.6,24612.74,57,6,4,2.2628509058212694,1,3,14,3,2,0.529140295304692,0
TXN00000052,CUST000095,2025-03-25 10:01:22.664021,137.96,EUR,IT,IT,app,pos,0,10,1,25,3,175.85649999999998,142.59839717673157,10.78,490.31,60,3,4,-0.2657568421843866,1,5,8,0,3,0.4904662681445294,0
TXN00000053,CUST000161,2025-11-08 09:05:22.664021,128.46,EUR,ES,ES,sucursal,pos,0,9,5,8,11,139.16267857142856,120.75959945266268,10.61,487.09,56,3,4,-0.08862797269376492,1,2,4,2,3,0.4492911077776295,0
TXN00000054,CUST000007,2025-08-01 03:01:22.664021,4153.71,EUR,DE,US,web,atm,0,3,4,1,8,14999.866125,16755.28120374154,1084.09,96865.2,80,13,4,-0.6473276092752578,1,1,14,3,0,0.597211610978265,1
TXN00000055,CUST000152,2025-10-17 11:25:22.664021,902.68,GBP,GB,GB,cajero,mobile,0,11,4,17,10,951.1576086956521,716.2417846887702,125.83,2743.37,46,5,4,-0.0676833014552955,2,4,6,1,2,0.43242851832697615,0
TXN00000056,CUST000170,2025-10-26 02:19:22.664021,5408.11,CHF,US,CH,cajero,pos,0,2,6,26,10,8912.418965517241,6940.298442880395,530.84,24700.95,58,6,4,-0.5049219415927516,0,6,1,1,3,0.5206669790522961,0
TXN00000057,CUST000036,2025-02-01 22:50:22.723200,73745.97,EUR,FR,SY,cajero,tablet,1,22,5,1,2,10988.67559322034,17235.1131600734,1593.82,80831.18,59,10,4,3.6412464380286753,1,3,13,1,4,0.6338928884064454,1
TXN00000058,CUST000023,2025-11-07 07:08:22.664021,7523.85,EUR,FR,ES,cajero,atm,0,7,4,7,11,19429.679032258067,27485.165593373804,808.61,93511.09,62,11,4,-0.4331729052669482,1,3,4,1,0,0.543271854171568,0
TXN00000059,CUST000008,2025-01-14 05:20:22.664021,3602.79,EUR,IT,DE,web,desktop,0,5,1,14,1,16975.0593877551,25272.70204389209,1067.78,99428.12,49,10,4,-0.5291191010760082,1,5,3,3,1,0.5449536722692561,0
TXN00000060,CUST000160,2025-03-22 15:44:22.664021,725.06,EUR,DE,FR,app,pos,0,15,5,22,3,904.2335714285715,637.0384111964836,114.49,2851.37,56,5,4,-0.281260231719447,1,1,5,0,3,0.4582783765705575,0
TXN00000061,CUST000039,2025-04-08 01:52:22.664021,5713.87,EUR,DE,DE,web,tablet,0,1,1,8,4,11888.182045454545,15755.398308728993,681.03,56933.51,44,9,4,-0.391885493725785,1,1,3,3,4,0.512594584910694,0
TXN00000062,CUST000082,2025-06-25 07:53:22.664021,7377.99,EUR,ES,FR,sucursal,tablet,0,7,2,25,6,7972.279090909091,6295.064813947002,670.79,24431.66,55,6,4,-0.09440555552311566,1,2,5,2,4,0.4293891950378362,0
TXN00000063,CUST000127,2025-10-15 07:09:22.664021,2479.75,EUR,FR,US,app,desktop,0,7,2,15,10,5175.683538461539,3408.1231986798057,1026.86,14073.5,65,6,4,-0.7910317146735842,1,3,14,0,1,0.4774151247366562,0
TXN00000064,CUST000064,2025-03-15 04:40:22.664021,690.6,EUR,ES,FR,sucursal,pos,0,4,5,15,3,729.9651020408163,552.4964489294722,103.76,2307.86,49,5,4,-0.0712495112789256,1,2,5,2,3,0.42065405348215257,0
TXN00000065,CUST000076,2025-01-05 09:45:22.664021,216.74,EUR,ES,ES,app,atm,0,9,6,5,1,157.1376595744681,106.39921381723207,16.86,457.19,47,3,4,0.5601765062638311,1,2,4,0,0,0.49378228080046044,0
TXN00000066,CUST000068,2025-03-12 13:25:22.664021,779.39,EUR,ES,IT,cajero,atm,0,13,2,12,3,759.856590909091,491.71454812415806,146.29,2320.43,44,5,4,0.03972509889264394,1,2,8,1,0,0.4440426789575631,0
TXN00000067,CUST000032,2025-01-07 21:33:22.723200,15602.09,EUR,FR,IR,web,atm,1,21,1,7,1,4023.3371153846156,15206.425033709687,10.88,84820.7,52,6,4,0.7614381985368751,1,3,7,3,0,0.5292355368489716,0
TXN00000068,CUST000130,2025-10-03 05:22:22.664021,5583.53,EUR,IT,FR,cajero,atm,0,5,4,3,10,5477.731875,3585.6029816829373,1158.54,14850.38,64,6,4,0.029506369085189575,1,5,5,1,0,0.4469746333710016,0
TXN00000069,CUST000163,2025-05-04 13:47:22.664021,68.49,EUR,ES,IT,sucursal,pos,0,13,6,4,5,168.95499999999998,140.93004795235706,16.1,480.82,42,3,4,-0.7128713907845393,1,2,8,2,3,0.47305510269055434,0
TXN00000070,CUST000037,2025-11-04 13:02:22.664021,99.76,EUR,ES,FR,web,tablet,0,13,1,4,11,5585.093414634146,16805.52159660049,10.52,90775.73,82,8,4,-0.3264006643755316,1,2,5,3,4,0.4951290540813144,0
TXN00000071,CUST000182,2025-06-02 13:23:22.664021,9355.55,EUR,FR,US,sucursal,atm,0,13,0,2,6,5969.300425531915,3942.2714577699544,1117.5,14812.85,47,6,4,0.8589590062183702,1,3,14,2,0,0.5034280358894969,0
TXN00000072,CUST000136,2025-01-16 02:48:22.664021,159.56,EUR,FR,FR,cajero,atm,0,2,3,16,1,156.8698245614035,118.19619667695422,10.52,475.76,57,3,4,0.022760253641568928,1,3,5,1,0,0.46247864303731745,0
TXN00000073,CUST000060,2025-05-11 10:03:22.664021,130.06,EUR,IT,GB,cajero,mobile,0,10,6,11,5,793.8452000000001,702.8669137539191,101.28,2914.93,50,5,4,-0.9443967073516301,1,5,6,1,2,0.43727854943796857,0
TXN00000074,CUST000086,2025-03-19 04:16:22.664021,13754.67,EUR,ES,IT,cajero,pos,0,4,2,19,3,5910.098163265306,4295.407110007479,1124.83,14315.23,49,6,4,1.826269695515489,1,2,8,1,3,0.47392918741123563,0
TXN00000075,CUST000100,2025-05-25 01:05:22.664021,11986.06,EUR,GB,FR,cajero,desktop,0,1,6,25,5,5226.1033333333335,3597.2253919944915,1045.25,14117.6,48,6,4,1.8792140964621,1,4,5,1,1,0.4734804231537277,0
TXN00000076,CUST000084,2024-12-23 14:24:22.664021,76.78,EUR,ES,ES,web,mobile,0,14,0,23,12,147.96942857142858,102.41184253992486,13.22,384.01,70,3,4,-0.6951288650875195,1,2,4,3,2,0.5093994204909126,0
TXN00000077,CUST000164,2025-04-07 03:57:22.664021,14842.44,CHF,US,DE,cajero,mobile,0,3,0,7,4,5759.409827586207,3931.2540620704726,1054.44,14842.44,58,6,4,2.3104663363627966,0,6,3,1,2,0.5588027652891229,0
TXN00000078,CUST000016,2025-10-09 14:07:22.664021,460.25,EUR,IT,DE,sucursal,pos,0,14,3,9,10,7327.536551724138,20238.287281972272,109.06,84862.73,58,10,4,-0.33932152734594356,1,5,3,2,3,0.46409031543654167,0
TXN00000079,CUST000112,2024-12-31 02:38:22.664021,2569.03,USD,US,US,sucursal,atm,0,2,1,31,12,7212.2430952380955,6561.998481108902,680.3,24787.28,42,6,4,-0.7075913089431034,3,6,14,2,0,0.5777026742322167,1
TXN00000080,CUST000026,2025-10-25 03:34:22.664021,48.24,EUR,FR,IT,cajero,pos,0,3,5,25,10,5699.249661016949,19425.088558669206,16.14,98699.51,59,6,4,-0.2909129419749313,1,3,8,1,3,0.4449407800975063,0
TXN00000081,CUST000173,2025-11-15 09:28:22.664021,5073.21,EUR,DE,IT,web,atm,0,9,5,15,11,5416.205952380952,3884.0417916518163,1118.22,14676.84,42,6,4,-0.08830902721743701,1,1,8,3,0,0.46076909102040037,0
TXN00000082,CUST000165,2025-02-16 02:45:22.664021,145.49,EUR,FR,IT,sucursal,tablet,0,2,6,16,2,796.1411538461538,546.07482260668,145.49,2657.6,52,5,4,-1.191505496533927,1,3,8,2,4,0.46157858632177434,0
TXN00000083,CUST000069,2025-08-28 11:41:22.664021,145.58,EUR,FR,FR,app,pos,0,11,3,28,8,169.07313725490195,120.3676959236189,15.12,478.18,51,3,4,-0.19517809059526875,1,3,5,0,3,0.44828707375395555,0
TXN00000084,CUST000106,2025-11-21 11:05:22.664021,327.06,EUR,FR,ES,sucursal,tablet,0,11,4,21,11,187.99303571428572,139.00723410762927,11.88,497.63,56,3,4,1.0004296839516214,1,3,4,2,4,0.46313502671740225,0
TXN00000085,CUST000185,2025-06-15 03:53:22.664021,1094.4,GBP,GB,DE,cajero,atm,0,3,6,15,6,845.7542857142857,659.7552020194057,107.93,2962.75,49,5,4,0.3768757156408523,2,4,3,1,0,0.465874234999321,0
TXN00000086,CUST000118,2025-07-19 05:45:22.664021,21895.96,EUR,DE,FR,sucursal,desktop,0,5,5,19,7,7784.2775,6565.419604910623,714.7,24795.08,44,6,4,2.1493953695352133,1,1,5,2,1,0.471538826245507,0
TXN00000087,CUST000148,2025-06-10 03:09:22.664021,2026.44,EUR,ES,FR,app,desktop,0,3,1,10,6,4870.1898,2933.4540342801783,1010.54,12132.54,50,6,4,-0.9694202690066659,1,2,5,0,1,0.443256386825672,0
TXN00000088,CUST000124,2025-08-21 07:36:22.664021,153.86,EUR,DE,DE,web,atm,0,7,3,21,8,909.7118867924529,685.5308862425715,105.13,2668.3,53,5,4,-1.1025788930280522,1,1,3,3,0,0.4484682102139771,0
TXN00000089,CUST000050,2025-10-03 02:27:22.664021,8234.79,EUR,FR,FR,app,pos,0,2,4,3,10,5331.105348837209,3804.6606136073424,1083.57,14257.64,43,6,4,0.7631915025520521,1,3,5,0,3,0.4588095331040089,0
TXN00000090,CUST000180,2025-03-29 03:15:22.664021,327.23,EUR,GB,ES,app,atm,0,3,5,29,3,934.9624,733.4398987565374,127.9,2829.87,50,5,4,-0.828605588817481,1,4,4,0,0,0.464164732940741,0
TXN00000091,CUST000063,2025-04-01 12:22:22.664021,109.4,EUR,FR,ES,sucursal,mobile,0,12,1,1,4,174.46065217391305,124.88230844193839,11.36,468.38,46,3,4,-0.5209757287853628,1,3,4,2,2,0.4545750693065796,0
TXN00000092,CUST000059,2025-06-01 11:33:22.664021,36.9,EUR,FR,ES,app,mobile,0,11,6,1,6,141.4556862745098,127.69645729236034,11.48,485.42,51,3,4,-0.818782977012018,1,3,4,0,2,0.47516588688132044,0
TXN00000093,CUST000096,2025-01-22 04:53:22.664021,7668.49,EUR,ES,US,sucursal,mobile,0,4,2,22,1,8049.057142857143,6639.965843385416,600.14,24951.57,49,6,4,-0.057314623565261395,1,2,14,2,2,0.49033966694528214,0
TXN00000094,CUST000103,2025-07-19 10:00:22.664021,2334.6,EUR,ES,IT,sucursal,pos,0,10,5,19,7,5214.038510638298,3364.444087380351,1126.94,12261.04,47,6,4,-0.8558437694307071,1,2,8,2,3,0.4181927861003066,0
TXN00000095,CUST000007,2025-06-24 03:29:22.664021,5602.96,EUR,DE,US,app,atm,0,3,1,24,6,14999.866125,16755.28120374154,1084.09,96865.2,80,13,4,-0.5608324927629859,1,1,14,0,0,0.6022063137212423,1
TXN00000096,CUST000036,2025-08-11 04:49:22.664021,5191.37,EUR,FR,US,web,mobile,0,4,0,11,8,10988.67559322034,17235.1131600734,1593.82,80831.18,59,10,4,-0.33636597213146957,1,3,14,3,2,0.5254790788146075,0
TXN00000097,CUST000097,2025-09-01 07:24:22.664021,6150.21,GBP,GB,FR,web,pos,0,7,0,1,9,6028.589047619047,4895.208384788782,512.34,20827.36,42,6,4,0.024844897866662684,2,4,5,3,3,0.4924261712984634,0
TXN00000098,CUST000164,2024-12-24 07:30:22.664021,6122.79,USD,US,FR,web,mobile,0,7,1,24,12,5759.409827586207,3931.2540620704726,1054.44,14842.44,58,6,4,0.09243365261668637,3,6,5,3,2,0.5054801440766871,0
TXN00000099,CUST000184,2025-06-11 10:48:22.664021,38.05,EUR,FR,FR,cajero,mobile,0,10,2,11,6,141.98777777777778,127.80667248159469,12.93,486.33,54,3,4,-0.8132421801334635,1,3,5,1,2,0.42783794683917115,0
TXN00000100,CUST000006,2025-06-02 08:58:22.664021,133.61,EUR,FR,FR,web,pos,0,8,0,2,6,6273.436166666666,19933.842865838214,13.39,96041.2,60,8,4,-0.30801016179779533,1,3,5,3,3,0.4497716940709735,0
TXN00000101,CUST000041,2025-11-08 11:19:22.664021,2657.6,EUR,DE,ES,sucursal,atm,0,11,5,8,11,11344.927833333333,17592.7953892561,1042.59,81555.68,60,9,4,-0.4938003109014087,1,1,4,2,0,0.48044148349993787,0
TXN00000102,CUST000062,2025-03-24 09:16:22.664021,939.0,EUR,IT,DE,cajero,mobile,0,9,0,24,3,897.1857692307692,674.5982232769489,119.34,2822.56,52,5,4,0.06198390280977736,1,5,3,1,2,0.4452275410084669,0
TXN00000103,CUST000066,2025-04-10 14:52:22.664021,1668.61,EUR,DE,DE,sucursal,mobile,0,14,3,10,4,951.3685964912281,717.5452787914169,125.37,2987.52,57,5,4,0.9995765057743347,1,1,3,2,2,0.45509432342914463,0
TXN00000104,CUST000059,2025-04-12 07:08:22.664021,107.61,EUR,FR,FR,sucursal,atm,0,7,5,12,4,141.4556862745098,127.69645729236034,11.48,485.42,51,3,4,-0.2650479639538653,1,3,5,2,0,0.44099004734369224,0
TXN00000105,CUST000070,2025-09-21 10:43:22.664021,28.38,EUR,ES,ES,cajero,pos,0,10,6,21,9,161.0876,115.33640442617927,12.75,451.5,50,3,4,-1.1506132821604114,1,2,4,1,3,0.4581724422243816,0
TXN00000106,CUST000155,2025-11-25 13:25:22.664021,1198.22,EUR,IT,ES,sucursal,pos,0,13,1,25,11,955.0666666666667,767.1100594112946,122.32,2967.61,45,5,4,0.31697320356216413,1,5,4,2,3,0.4546857269614348,0
TXN00000107,CUST000084,2025-09-09 02:01:22.664021,232.26,EUR,ES,FR,cajero,pos,0,2,1,9,9,147.96942857142858,102.41184253992486,13.22,384.01,70,3,4,0.8230549174296531,1,2,5,1,3,0.4872028301624552,0
TXN00000108,CUST000003,2025-07-04 09:45:22.664021,361.77,EUR,ES,FR,sucursal,pos,0,9,4,4,7,9508.651851851851,26878.185771176377,14.93,97694.39,54,8,4,-0.3403087518399576,1,2,5,2,3,0.4650264555097025,0
TXN00000109,CUST000081,2024-12-30 12:21:22.664021,10465.26,CHF,CH,GB,app,atm,0,12,0,30,12,7762.277592592593,5260.794077166913,692.26,19011.44,54,6,4,0.5137974167483939,0,0,6,0,0,0.5438498285587255,0
TXN00000110,CUST000013,2024-12-11 15:20:22.664021,646.47,GBP,GB,GB,cajero,atm,0,15,2,11,12,1005.2969491525424,1231.6273207067234,104.65,7113.51,59,5,4,-0.2913437716332073,2,4,6,1,0,0.47207398598738104,0
TXN00000111,CUST000055,2025-08-20 04:04:22.664021,1077.91,EUR,CH,DE,cajero,mobile,0,4,2,20,8,7358.3737037037035,4642.129487846006,544.87,19628.1,54,6,4,-1.3529272974384379,1,0,3,1,2,0.4539661502082534,0
